name,tf,dicts,corpus,title,dmap
aanás,0,0.01,0,0,cfj
aarus,0,0.01,0,0,cfj
aasto,33,0.01,0,0,dfh
ababa,4266,1,0.0376,0.4522,cdfghijkmoq
ababé,0,0.99,0,0,cdfghjk
abaci,143,0.999,0.0002,0,cdfghijk
abacu,0,0.01,0,0,cfj
abacá,1892,1,0.0376,0.0156,acdfghijklmoqrs
abacé,867,0.999,0.0001,0.3146,cdfghijk
abada,33670,1,0.4268,0.0041,acdfghijklmoqs
abade,49679,1,0.1863,0.004,abcdfghijklmnoqrst
abado,426,1,0.0006,0.002,cdfghijklmoqs
abafa,39491,0.9999,0.8874,0.0024,bcdfhijos
abafe,5734,0.99,0.0037,0,bcdfhij
abafo,2220,1,0.0037,0,bcdfghijklmnoqst
abaga,1096,0.01,0.002,0.1271,cfj
abagi,0,0.01,0,0,cfj
abago,1,0.01,0,0,cfj
abaia,151,0.5,0,0,cdfhj
abais,1023,0.999,0.0001,0.4989,cdfghijk
abaiô,11,0.99,0,0,cdfghjk
abaju,588,0.9999,0.0037,0,cdfhjlmos
abajá,195,0.999,0.0002,0.0081,cdfghjkq
abala,66263,0.999,0.9788,0.0022,bcdfhijm
abale,9130,0.99,0.002,0,bcdfhij
abalo,69094,1,0.9934,0.0015,abcdfghijklmoqrst
abama,158,1,0.0001,0,cdfghijklmoq
abamo,20,0.01,0,0,cfj
abana,21710,0.9999,0.7078,0.0042,bcdfghijk
abane,1978,0.99,0.002,0,bcdfhij
abano,10987,1,0.0658,0,abcdfhijklmnoqst
abapo,80,0.9089,0.0001,0.0044,cfjlmq
abari,3,0.01,0,0,cfj
abará,4107,1,0.0376,0.0042,cdfhjklmoqs
abaré,17076,1,0.5732,0.0048,cdfghijkmoqst
abaso,38,0.999,0,0,cdfghijk
abata,4238,0.99,0.0066,0,bcdfhij
abate,188868,1,0.9881,0.0019,abcdfhijklmoqrst
abati,2244,1,0.0119,0.004,abcdfghijmoq
abato,993,1,0.0212,0.004,bcdfghijkm
abatu,18,0.999,0,0,cdfghijk
